record_id,structure_name,fullname,species,paper,n_mentions,n_papers,region_class_before,region_class,class_corrected,class_ok_vote,suitability,unsuitable_reason,audit_stage,api_priority,rule_flags,final_certainty,final_confidence,audit_agreement,audit_vote_split,audit_reason,prior_decision_stage,prior_certainty,prior_reason
560,TLCv,ventral nucleus of the lateral lemniscus,Mouse,PM40852920,10,2,non_neocortex,non_neocortex,no,yes,suitable,,rule,,rule_fiber,high,1.0,,,rule_keep: rule_fiber,seed_remap,high,seed: subcortical → non_neocortex
561,unlabeled target,,,PM39614717,10,1,other,other,no,yes,unsuitable,other,rule,,rule_prior_other,high,1.0,,,rule_keep: rule_prior_other,seed_remap,high,seed: other kept
562,VA,ventral anterior nucleus,Rat,PM41840687,10,7,non_neocortex,non_neocortex,no,yes,suitable,,rule,,,high,1.0,,,rule_keep: clean,seed_remap,high,seed: subcortical → non_neocortex
563,ventral horn,ventral horn,Mouse,PM36752606,10,8,non_neocortex,non_neocortex,no,yes,suitable,,rule,,,high,1.0,,,rule_keep: clean,seed_remap,high,seed: subcortical → non_neocortex
564,VLP,ventrolateral protocerebrum,,PM33988500,10,4,other,other,no,yes,unsuitable,other,rule,,rule_prior_other,high,1.0,,,rule_keep: rule_prior_other,seed_remap,high,seed: other kept
565,VMS,ventromedial striatum,Rat,PM33790281,10,6,non_neocortex,non_neocortex,no,yes,suitable,,rule,,,high,1.0,,,rule_keep: clean,seed_remap,high,seed: subcortical → non_neocortex
566,VNTB,ventral nucleus of the trapezoid body,Rat,PM37621862,10,5,non_neocortex,non_neocortex,no,yes,suitable,,rule,,,high,1.0,,,rule_keep: clean,seed_remap,high,seed: subcortical → non_neocortex
567,AHA,anterior hypothalamic area,Mouse,PM42162422,9,4,non_neocortex,non_neocortex,no,yes,suitable,,rule,,,high,1.0,,,rule_keep: clean,seed_remap,high,seed: subcortical → non_neocortex
568,anterior thalamus,anterior thalamus,Human,PM40608009,9,6,non_neocortex,non_neocortex,no,yes,suitable,,rule,,,high,1.0,,,rule_keep: clean,seed_remap,high,seed: subcortical → non_neocortex
569,AON,anterior olfactory nucleus,Mouse,PM36902010,9,5,non_neocortex,non_neocortex,no,yes,suitable,,rule,,,high,1.0,,,rule_keep: clean,seed_keyword,high,seed: cortical + keyword 'anterior olfactory' → non_neocortex
570,AP,area postrema,Mouse,PM34043943,9,7,non_neocortex,non_neocortex,no,yes,suitable,,rule,,,high,1.0,,,rule_keep: clean,seed_remap,high,seed: subcortical → non_neocortex
571,APC,anterior piriform cortex,Mouse,PM41826304,9,3,non_neocortex,non_neocortex,no,yes,suitable,,rule,,,high,1.0,,,rule_keep: clean,seed_keyword,high,seed: cortical + keyword 'piriform' → non_neocortex
572,APT,anterior pretectal nucleus,Mouse,PM39170852,9,4,non_neocortex,non_neocortex,no,yes,suitable,,rule,,,high,1.0,,,rule_keep: clean,seed_remap,high,seed: subcortical → non_neocortex
573,area 8,area 8,Human,PM41947581,9,2,neocortex,neocortex,no,yes,suitable,,rule,,,high,0.97,,,rule_keep: clean,flash,high,"Area 8 (frontal eye field) is prefrontal neocortex. | Area 8 is Brodmann area 8, part of frontal neocortex. | Area 8 is Brodmann area in frontal cortex, part of neocortex."
574,ARN,arcuate nucleus,Mouse,PM40593679,9,1,non_neocortex,non_neocortex,no,yes,suitable,,rule,,,high,1.0,,,rule_keep: clean,seed_remap,high,seed: subcortical → non_neocortex
575,AuV,ventral auditory cortex,Mouse,PM40455405,9,7,neocortex,neocortex,no,yes,suitable,,rule,,,high,0.97,,,rule_keep: clean,flash,high,Ventral auditory cortex is neocortex. | Ventral auditory cortex is auditory neocortex. | Ventral auditory cortex is neocortical area.
576,avTRN,anteroventral thalamic reticular nucleus,Rat,PM39504962,9,2,non_neocortex,non_neocortex,no,yes,suitable,,rule,,,high,1.0,,,rule_keep: clean,seed_remap,high,seed: subcortical → non_neocortex
577,brain regions,brain regions,Mouse,PM38551963,9,5,other,other,no,yes,unsuitable,other,rule,,rule_prior_other,high,1.0,,,rule_keep: rule_prior_other,seed_remap,high,seed: other kept
578,caudal CP,caudal caudate putamen,,PM40832125,9,1,non_neocortex,non_neocortex,no,yes,suitable,,rule,,,high,1.0,,,rule_keep: clean,seed_remap,high,seed: subcortical → non_neocortex
579,central amygdala,central amygdala,Mouse,PM33380525,9,8,non_neocortex,non_neocortex,no,yes,suitable,,rule,,,high,1.0,,,rule_keep: clean,seed_remap,high,seed: subcortical → non_neocortex
580,contralateral DG,contralateral dentate gyrus,Mouse,PM38688719,9,3,non_neocortex,non_neocortex,no,yes,suitable,,rule,,,high,1.0,,,rule_keep: clean,seed_remap,high,seed: subcortical → non_neocortex
581,CVLM,caudal ventrolateral medulla,Mouse,PM40108302,9,6,non_neocortex,non_neocortex,no,yes,suitable,,rule,,,high,1.0,,,rule_keep: clean,seed_remap,high,seed: subcortical → non_neocortex
582,D1-MSN,D1 medium spiny neuron,Mouse,PM33380525,9,1,other,other,no,yes,unsuitable,cell_type_or_marker,rule,,rule_cell_type|rule_prior_other,high,1.0,,,"rule_keep: rule_cell_type,rule_prior_other",seed_remap,high,seed: other kept
583,distal colon,distal colon,Mouse,PM39045348,9,6,other,other,no,yes,unsuitable,other,rule,,rule_prior_other,high,1.0,,,rule_keep: rule_prior_other,seed_remap,high,seed: other kept
584,DM,dorsomedial hypothalamus,Mouse,PM40657851,9,7,non_neocortex,non_neocortex,no,yes,suitable,,rule,,,high,1.0,,,rule_keep: clean,seed_remap,high,seed: subcortical → non_neocortex
585,DMN,dorsal motor nucleus,Mouse,PM33168718,9,8,non_neocortex,non_neocortex,no,yes,suitable,,rule,,,high,1.0,,,rule_keep: clean,seed_remap,high,seed: subcortical → non_neocortex
586,dMSN,direct-pathway medium spiny neurons,Mouse,PM41604482,9,5,other,other,no,yes,unsuitable,cell_type_or_marker,rule,,rule_cell_type|rule_prior_other,high,1.0,,,"rule_keep: rule_cell_type,rule_prior_other",seed_remap,high,seed: other kept
587,dorsal caudate,dorsal caudate,Human,PM37938560,9,5,non_neocortex,non_neocortex,no,yes,suitable,,rule,,,high,1.0,,,rule_keep: clean,seed_remap,high,seed: subcortical → non_neocortex
588,dorsal raphe,dorsal raphe,Mouse,PM40196592,9,9,non_neocortex,non_neocortex,no,yes,suitable,,rule,,,high,1.0,,,rule_keep: clean,seed_remap,high,seed: subcortical → non_neocortex
589,graft,graft,Mouse,PM36516880,9,3,other,other,no,yes,unsuitable,other,rule,,rule_prior_other,high,1.0,,,rule_keep: rule_prior_other,seed_remap,high,seed: other kept
590,HA,,,PM38600121,9,2,ambiguous,ambiguous,no,yes,unsuitable,ambiguous_name,rule,,rule_cryptic_acronym|rule_prior_ambiguous,medium,0.4833,,,"rule_keep: rule_cryptic_acronym,rule_prior_ambiguous",flash,medium,"'HA' alone is ambiguous; could be hypothalamic or other non-neocortex. | Acronym 'HA' ambiguous; could be hippocampal/hypothalamic area, not clearly neocortical. | HA acronym ambiguous without fullname; could be hypothalamus or other."
591,HP,hippocampus,Mouse,PM36855269,9,5,non_neocortex,non_neocortex,no,yes,suitable,,rule,,,high,1.0,,,rule_keep: clean,seed_remap,high,seed: subcortical → non_neocortex
592,hStrO,human striatal organoid,Human,PM40501703,9,2,other,other,no,yes,unsuitable,other,rule,,rule_prior_other,high,1.0,,,rule_keep: rule_prior_other,seed_remap,high,seed: other kept
593,iCb,intermediate cerebellum,,PM41289407,9,1,non_neocortex,non_neocortex,no,yes,suitable,,rule,,,high,1.0,,,rule_keep: clean,seed_remap,high,seed: subcortical → non_neocortex
594,ipsi-TH,,,PM40346961,9,1,non_neocortex,non_neocortex,no,yes,suitable,,rule,,,high,1.0,,,rule_keep: clean,seed_remap,high,seed: subcortical → non_neocortex
595,lamina I,lamina I,Mouse,PM36948583,9,8,non_neocortex,non_neocortex,no,yes,suitable,,rule,,,high,1.0,,,rule_keep: clean,seed_remap,high,seed: subcortical → non_neocortex
596,lateral entorhinal cortex,lateral entorhinal cortex,Mouse,PM41120321,9,9,non_neocortex,non_neocortex,no,yes,suitable,,rule,,,high,1.0,,,rule_keep: clean,seed_keyword,high,seed: cortical + keyword 'entorhinal' → non_neocortex
597,lIns,left insula,,PM33036334,9,1,non_neocortex,neocortex,yes,no,suitable,,flash,contamination_suspect,rule_has_layer|suspect_border_in_non_neo|flash_split,high,0.92,3/3,3-0,"Insula is standard isocortical projection ROI; non_neocortex label incorrect. | Left insula is insular cortex; atlas conventions treat insular cortex as neocortical projection ROI despite dysgranular sectors. | Insula is treated as isocortex/neocortex in rodent atlases; 'left insula' is suitable, current non_neocortex is wrong.",flash,medium,"Left insula is mesocortex/allocortex, not six-layered isocortex. | Insula is considered neocortex in many conventions, though borderline. | Insula is often mesocortex/allocortex rather than typical neocortex."
598,LJA5,LJA5 dynorphinergic neurons,Mouse,PM32602558,9,2,other,other,no,yes,unsuitable,cell_type_or_marker,rule,,rule_cell_type|rule_prior_other,high,1.0,,,"rule_keep: rule_cell_type,rule_prior_other",seed_remap,high,seed: other kept
599,LLDp,,,PM41108202,9,1,ambiguous,ambiguous,no,yes,unsuitable,ambiguous_name,rule,,rule_cryptic_acronym|rule_prior_ambiguous,medium,0.3333,,,"rule_keep: rule_cryptic_acronym,rule_prior_ambiguous",flash,medium,Acronym LLDp is ambiguous; possible brainstem but not certain. | Acronym LLDp not clearly identifiable without fullname; could be brainstem or other non-neocortex region. | Unknown acronym LLDp; no fullname provided; cannot determine if neocortex or non_neocortex.
600,LSd,"lateral septum, dorsal",Mouse,PM36631846,9,4,non_neocortex,non_neocortex,no,yes,unsuitable,compound_multi_region,rule,,rule_compound,high,1.0,,,rule_keep: rule_compound,seed_remap,high,seed: subcortical → non_neocortex
601,LTS,low-threshold spiking interneurons,,PM37366393,9,2,other,other,no,yes,unsuitable,other,rule,,rule_prior_other,high,1.0,,,rule_keep: rule_prior_other,seed_remap,high,seed: other kept
602,Mctx,motor cortex,,PM41379994,9,1,neocortex,neocortex,no,yes,suitable,,rule,,,high,0.9833,,,rule_keep: clean,flash,high,"Motor cortex is neocortex. | Mctx expands to motor cortex, a primary neocortical area. | Motor cortex is a neocortical region."
603,MDL,lateral part of mediodorsal thalamic nucleus,Rat,PM33790281,9,6,non_neocortex,non_neocortex,no,yes,suitable,,rule,,,high,1.0,,,rule_keep: clean,seed_remap,high,seed: subcortical → non_neocortex
604,MDM,"mediodorsal thalamic nucleus, medial part",Rat,PM33790281,9,3,non_neocortex,non_neocortex,no,yes,unsuitable,compound_multi_region,rule,,rule_compound,high,1.0,,,rule_keep: rule_compound,seed_remap,high,seed: subcortical → non_neocortex
605,middle frontal gyrus,middle frontal gyrus,Human,PM40535582,9,7,neocortex,neocortex,no,yes,suitable,,rule,,,high,0.9833,,,rule_keep: clean,flash,high,Middle frontal gyrus is human neocortex. | Middle frontal gyrus is a neocortical gyrus of human prefrontal cortex. | Middle frontal gyrus is part of prefrontal neocortex.
606,mPFCCRH neurons,medial prefrontal cortex CRH neurons,,PM38009263,9,1,neocortex,neocortex,no,yes,unsuitable,cell_type_or_marker,rule,,rule_cell_type,high,0.9833,,,rule_keep: rule_cell_type,flash,high,"Medial prefrontal cortex is neocortex. | mPFC is medial prefrontal cortex, a neocortical region. | Medial prefrontal cortex is neocortex."
607,MRN,midbrain reticular nucleus,Mouse,PM36309963,9,7,non_neocortex,non_neocortex,no,yes,suitable,,rule,,,high,1.0,,,rule_keep: clean,seed_remap,high,seed: subcortical → non_neocortex
608,MSO,medial superior olive,Rat,PM38797037,9,4,non_neocortex,non_neocortex,no,yes,suitable,,rule,,,high,1.0,,,rule_keep: clean,seed_remap,high,seed: subcortical → non_neocortex
609,MTC,mitral cell,Human,PM39186804,9,3,other,other,no,yes,unsuitable,cell_type_or_marker,rule,,rule_cell_type|rule_prior_other,high,1.0,,,"rule_keep: rule_cell_type,rule_prior_other",seed_remap,high,seed: other kept
610,MTN,medial terminal nucleus,Mouse,PM42427684,9,7,non_neocortex,non_neocortex,no,yes,suitable,,rule,,,high,1.0,,,rule_keep: clean,seed_remap,high,seed: subcortical → non_neocortex
611,nucleus ambiguus,nucleus ambiguus,Rat,PM35385140,9,7,non_neocortex,non_neocortex,no,yes,suitable,,rule,,,high,1.0,,,rule_keep: clean,seed_remap,high,seed: subcortical → non_neocortex
612,Onecut3+ neurons,Onecut3+ neurons,Mouse,PM37029761,9,1,other,other,no,yes,unsuitable,cell_type_or_marker,rule,,rule_cell_type|rule_prior_other,high,1.0,,,"rule_keep: rule_cell_type,rule_prior_other",seed_remap,high,seed: other kept
613,pallidum,pallidum,Mouse,PM35733933,9,7,non_neocortex,non_neocortex,no,yes,suitable,,rule,,,high,1.0,,,rule_keep: clean,seed_remap,high,seed: subcortical → non_neocortex
614,pars triangularis,,,PM40535582,9,1,neocortex,neocortex,no,yes,suitable,,rule,,,high,0.9833,,,rule_keep: clean,flash,high,"Pars triangularis is part of inferior frontal gyrus, neocortex. | Pars triangularis is part of inferior frontal gyrus, neocortex. | Pars triangularis is a cortical region of inferior frontal gyrus (neocortex)."
615,PHbGABA,GABAergic neurons of the posterior hypothalamus,Mouse,PM35687680,9,1,non_neocortex,non_neocortex,no,yes,unsuitable,cell_type_or_marker,rule,,rule_cell_type,high,1.0,,,rule_keep: rule_cell_type,seed_remap,high,seed: subcortical → non_neocortex
616,posterior parietal cortex,posterior parietal cortex,Human,PM40127934,9,9,neocortex,neocortex,no,yes,suitable,,rule,,,high,0.9833,,,rule_keep: clean,flash,high,Posterior parietal cortex is neocortex. | Posterior parietal cortex is a neocortical association area. | Posterior parietal cortex is neocortex.
617,PreCG,precentral gyrus,Human,PM32700105,9,4,neocortex,neocortex,no,yes,suitable,,rule,,,high,0.95,,,rule_keep: clean,flash,high,"Precentral gyrus is part of motor neocortex. | Precentral gyrus is primary motor cortex, a region of neocortex. | Precentral gyrus is primary motor cortex (BA4), part of neocortex."
618,primary afferents,primary afferents,Mouse,PM38955487,9,6,other,other,no,yes,unsuitable,other,rule,,rule_prior_other,high,1.0,,,rule_keep: rule_prior_other,seed_remap,high,seed: other kept
619,PV2,PV2 cluster,Mouse,PM35486186,9,1,ambiguous,ambiguous,no,yes,unsuitable,ambiguous_name,rule,,rule_prior_ambiguous,medium,0.4,,,rule_keep: rule_prior_ambiguous,flash,medium,PV2 cluster not clearly defined; could be any region. | PV2 cluster is ambiguous; could be cortical or subcortical without further context. | PV2 cluster is ambiguous; unclear if it denotes a brain region or cell population.
620,rIns,right insula,,PM33036334,9,1,ambiguous,neocortex,yes,no,suitable,,flash,flash_split,rule_prior_ambiguous|flash_split,high,0.91,3/3,3-0,"Right insula is isocortex; ambiguous label should be neocortex. | Right insula is treated as neocortical projection ROI in rodent atlases; current ambiguous label should be corrected; suitable. | Insula should be neocortex; 'right insula' is a concrete ROI, current ambiguous is wrong.",pro,medium,"Insula is part of the cerebral cortex, typically classified as isocortex/neocortex despite some agranular sectors. | Insula is a borderline mesocortex; can be granular (neocortex) or agranular (non-neocortex), right insula unspecific. | Insula is a mesocortical region; ambiguous whether neocortex or"
621,rVRG,rostral ventral respiratory group,Rat,PM37314062,9,4,non_neocortex,non_neocortex,no,yes,suitable,,rule,,,high,1.0,,,rule_keep: clean,seed_remap,high,seed: subcortical → non_neocortex
622,sensory cortex,sensory cortex,Human,PM37398221,9,8,neocortex,neocortex,no,yes,suitable,,rule,,,high,0.95,,,rule_keep: clean,flash,high,"Sensory cortex clearly refers to neocortical areas like S1. | Sensory cortex typically denotes neocortical sensory areas. | Sensory cortex refers to primary sensory areas, which are neocortical."
623,SLP,superior lateral protocerebrum,,PM32949023,9,2,other,other,no,yes,unsuitable,other,rule,,rule_prior_other,high,1.0,,,rule_keep: rule_prior_other,seed_remap,high,seed: other kept
624,Sp5,spinal trigeminal nucleus,Mouse,PM38142769,9,5,non_neocortex,non_neocortex,no,yes,suitable,,rule,,,high,1.0,,,rule_keep: clean,seed_remap,high,seed: subcortical → non_neocortex
625,Sp5CTac1,"pars caudalis of the spinal trigeminal nucleus, Tac1-expressing neurons",Mouse,PM41824792,9,1,non_neocortex,non_neocortex,no,yes,unsuitable,cell_type_or_marker,rule,,rule_cell_type|rule_compound,high,1.0,,,"rule_keep: rule_cell_type,rule_compound",seed_remap,high,seed: subcortical → non_neocortex
626,SSpbfd,barrel field region of primary somatosensory cortex,Mouse,PM36693103,9,1,neocortex,neocortex,no,yes,suitable,,rule,,,high,0.95,,,rule_keep: clean,flash,high,"Barrel field of primary somatosensory cortex is neocortex. | Barrel field region of primary somatosensory cortex is part of neocortex. | Barrel field is part of primary somatosensory cortex, a neocortical area."
627,SST cINs,somatostatin-expressing cortical interneurons,Mouse,PM34758329,9,1,other,other,no,yes,unsuitable,cell_type_or_marker,rule,,rule_cell_type|rule_prior_other,medium,0.8,,,"rule_keep: rule_cell_type,rule_prior_other",flash,medium,"Refers to a cell type (interneurons), not a brain region. | SST cINs refers to a cell type (somatostatin-expressing cortical interneurons), not a specific brain region. | SST cINs denotes a cortical interneuron type, not a brain region."
628,tdTomato-labelled hindbrain,,,PM36271640,9,1,non_neocortex,non_neocortex,no,yes,suitable,,rule,,,high,1.0,,,rule_keep: clean,seed_remap,high,seed: subcortical → non_neocortex
629,TrhArc,thyrotropin-releasing hormone arcuate neurons,Mouse,PM39627618,9,1,non_neocortex,non_neocortex,no,yes,unsuitable,cell_type_or_marker,rule,,rule_cell_type,high,1.0,,,rule_keep: rule_cell_type,seed_remap,high,seed: subcortical → non_neocortex
630,TSCv,,,PM41108202,9,1,ambiguous,ambiguous,no,yes,unsuitable,acronym_unresolved,flash,flash_split,rule_cryptic_acronym|rule_prior_ambiguous|flash_split,high,0.8267,3/3,3-0,"Cryptic acronym TSCv with no fullname; cannot resolve neocortical vs non-neocortical. | TSCv has no fullname and is a cryptic acronym; cannot reliably resolve to an anatomical region. | TSCv is cryptic, fullname/species missing; cannot resolve neocortex vs non-neocortex, so unsuitable.",flash,medium,"Unclear acronym TSCv; no fullname; cannot determine if neocortex or other. | Acronym TSCv not clearly defined; no fullname to resolve | TSCv likely temporal sulcus cortex ventral, a neocortical area in mouse."
631,unknown region,,,PM39340562,9,1,other,other,no,yes,unsuitable,other,rule,,rule_prior_other,high,1.0,,,rule_keep: rule_prior_other,seed_remap,high,seed: other kept
632,V2L,lateral visual areas,Mouse,PM33522479,9,3,neocortex,neocortex,no,yes,suitable,,rule,,,high,0.95,,,rule_keep: clean,flash,high,"V2L and lateral visual areas are neocortical visual areas. | V2L is lateral visual area, part of neocortex | V2L is lateral visual areas, part of neocortex."
633,VDB,vertical limb of the diagonal band,Mouse,PM33055197,9,8,non_neocortex,non_neocortex,no,yes,unsuitable,layer_only,rule,,rule_has_layer,high,1.0,,,rule_keep: rule_has_layer,seed_remap,high,seed: subcortical → non_neocortex
634,ventral midbrain,ventral midbrain,Macaque,PM33558867,9,2,non_neocortex,non_neocortex,no,yes,suitable,,rule,,,high,1.0,,,rule_keep: clean,seed_remap,high,seed: subcortical → non_neocortex
635,ventral respiratory column,,,PM32656849,9,1,non_neocortex,non_neocortex,no,yes,suitable,,rule,,,high,1.0,,,rule_keep: clean,seed_remap,high,seed: subcortical → non_neocortex
636,ventricular transplants,,,PM32769989,9,1,other,other,no,yes,unsuitable,other,rule,,rule_prior_other,high,1.0,,,rule_keep: rule_prior_other,seed_remap,high,seed: other kept
637,VH,ventral hippocampus,Rat,PM34042587,9,6,non_neocortex,non_neocortex,no,yes,suitable,,rule,,,high,1.0,,,rule_keep: clean,seed_remap,high,seed: subcortical → non_neocortex
638,vHIP,ventral hippocampus,Mouse,PM41839831,9,7,non_neocortex,non_neocortex,no,yes,suitable,,rule,,,high,1.0,,,rule_keep: clean,seed_remap,high,seed: subcortical → non_neocortex
639,vLGNe,"ventral lateral geniculate nucleus, external subdivision",Mouse,PM36609305,9,4,non_neocortex,non_neocortex,no,yes,unsuitable,compound_multi_region,rule,,rule_compound,high,1.0,,,rule_keep: rule_compound,seed_remap,high,seed: subcortical → non_neocortex
640,Vme,trigeminal mesencephalic nucleus,Rat,PM39640235,9,6,non_neocortex,non_neocortex,no,yes,suitable,,rule,,,high,1.0,,,rule_keep: clean,seed_remap,high,seed: subcortical → non_neocortex
641,VNC,vestibular nuclear complex,Mouse,PM39719703,9,6,non_neocortex,non_neocortex,no,yes,suitable,,rule,,,high,1.0,,,rule_keep: clean,seed_remap,high,seed: subcortical → non_neocortex
642,abGCs,aberrant/adult-born granule cells,Mouse,PM33658509,8,1,non_neocortex,non_neocortex,no,yes,unsuitable,cell_type_or_marker,rule,,rule_cell_type|rule_compound,high,1.0,,,"rule_keep: rule_cell_type,rule_compound",seed_remap,high,seed: subcortical → non_neocortex
643,angular gyrus,angular gyrus,Human,PM39103495,8,3,neocortex,neocortex,no,yes,suitable,,rule,,,high,0.9633,,,rule_keep: clean,flash,high,Angular gyrus is part of parietal neocortex. | Angular gyrus is isocortex in human parietal lobe | Angular gyrus is a classical neocortical gyrus.
644,anterior cingulate,anterior cingulate cortex,Human,PM40535582,8,6,non_neocortex,neocortex,yes,no,suitable,,flash,contamination_suspect,suspect_border_in_non_neo|flash_split,high,0.8733,3/3,3-0,"Anterior cingulate cortex is ACC, a standard isocortical ROI in atlases. | Anterior cingulate cortex is a standard cortical projection ROI, conventionally treated as cortical in atlas-based mapping. | ACC is treated as neocortex/isocortex in standard atlases; current non_neocortex is wrong.",pro,medium,"Anterior cingulate cortex is conventionally treated as part of the neocortex, though it has meso-/allocortical transitional features. | Anterior cingulate cortex is agranular mesocortex, limbic, conventionally not considered isocortex (neocortex). | Anterior cingulate cortex is mesocortex/allocortex"
645,ARCAGRP,arcuate nucleus AGRP neurons,Mouse,PM41894000,8,2,non_neocortex,non_neocortex,no,yes,unsuitable,cell_type_or_marker,rule,,rule_cell_type,high,1.0,,,rule_keep: rule_cell_type,seed_remap,high,seed: subcortical → non_neocortex
646,area 10,area 10,Human,PM41212268,8,2,neocortex,neocortex,no,yes,suitable,,rule,,,high,0.9633,,,rule_keep: clean,flash,high,"Area 10 is a Brodmann area in prefrontal neocortex. | Area 10 is Brodmann area 10, prefrontal neocortex | Area 10 (Brodmann) is a neocortical prefrontal area."
647,ascending vestibular brainstem,,,PM36966483,8,1,non_neocortex,non_neocortex,no,yes,suitable,,rule,,,high,1.0,,,rule_keep: clean,seed_remap,high,seed: subcortical → non_neocortex
648,CaT,central acoustic tract,Mouse,PM40832125,8,2,other,other,no,yes,unsuitable,fiber_tract_or_ventricle,rule,,rule_fiber|rule_prior_other,high,1.0,,,"rule_keep: rule_fiber,rule_prior_other",seed_remap,high,seed: other kept
649,caudal 47/12,caudal area 47/12,,PM35510840,8,1,neocortex,neocortex,no,yes,unsuitable,compound_multi_region,rule,,rule_compound,high,0.95,,,rule_keep: rule_compound,flash,high,Caudal area 47/12 is prefrontal neocortex (Brodmann area). | Caudal 47/12 is part of orbitofrontal neocortex | Caudal area 47/12 is part of orbital prefrontal neocortex.
650,Ce,central nucleus,Rat,PM39103495,8,3,non_neocortex,non_neocortex,no,yes,suitable,,rule,,,high,0.9667,,,rule_keep: clean,flash,high,"'Ce' with fullname 'central nucleus' refers to central amygdala, a non-neocortical region. | Ce is standard abbreviation for central nucleus of amygdala; amygdala is non-neocortex | Ce with fullname 'central nucleus' typically refers to central amygdala, a non-neocortical structure."
651,Cg1,cingulate cortex 1,Mouse,PM39097664,8,8,neocortex,neocortex,no,yes,suitable,,flash,weak_neocortex,weak_neocortex_certainty|flash_split,high,0.9,3/3,3-0,"Cg1 is cingulate cortex area, standard neocortical ROI in mouse atlas. | Cg1 is a standard mouse cingulate cortex area and is treated as a neocortical gray-matter ROI in rodent atlases. | Cingulate cortex area 1 is neocortex/isocortex in mouse; current label is correct.",pro,medium,"Cg1 (cingulate cortex 1) in mouse is part of medial prefrontal cortex, usually considered isocortex/neocortex. | Mouse Cg1 is medial prefrontal/cingulate mesocortex often grouped as neocortex in rodent connectomics, despite transitional cytoarchitecture. | Cg1 is mouse cingulate cortex area 1, mesoc"
652,Cg2,Cingulate Cortex Area 2,Mouse,PM36061004,8,7,neocortex,neocortex,no,yes,suitable,,flash,weak_neocortex,weak_neocortex_certainty|flash_split,high,0.8967,3/3,3-0,"Cg2 is cingulate cortex area, standard neocortical ROI in mouse atlas. | Cingulate cortex area 2 is a standard rodent cingulate cortical projection ROI; atlas convention treats it as neocortex. | Cingulate cortex area 2 is neocortex/isocortex in mouse; current label is correct.",pro,medium,"Cg2 (cingulate area 2) is similar to Cg1, a medial prefrontal isocortical region in mouse. | Mouse Cg2, same as Cg1, is treated as cortical/neocortical area in rodent circuit-mapping literature. | Cg2 is mouse cingulate cortex area 2, mesocortex."
653,contralateral thalamus,thalamus,Marmoset,PM37950874,8,5,non_neocortex,non_neocortex,no,yes,suitable,,rule,,,high,1.0,,,rule_keep: clean,seed_remap,high,seed: subcortical → non_neocortex
654,copula pyramidis,copula pyramidis,Rat,PM40673947,8,1,non_neocortex,non_neocortex,no,yes,suitable,,rule,,,high,1.0,,,rule_keep: clean,seed_remap,high,seed: subcortical → non_neocortex
655,CRH neurons,CRH neurons,Mouse,PM32699360,8,5,other,other,no,yes,unsuitable,cell_type_or_marker,rule,,rule_cell_type|rule_prior_other,high,1.0,,,"rule_keep: rule_cell_type,rule_prior_other",seed_remap,high,seed: other kept
656,D2-MSN,D2 medium spiny neuron,Mouse,PM33380525,8,2,other,other,no,yes,unsuitable,cell_type_or_marker,rule,,rule_cell_type|rule_prior_other,high,1.0,,,"rule_keep: rule_cell_type,rule_prior_other",seed_remap,high,seed: other kept
657,diencephalon,diencephalon,Mouse,PM38887205,8,7,non_neocortex,non_neocortex,no,yes,suitable,,rule,,,high,1.0,,,rule_keep: clean,seed_remap,high,seed: subcortical → non_neocortex
658,dorsal hippocampus,dorsal hippocampus,Mouse,PM38715106,8,6,non_neocortex,non_neocortex,no,yes,suitable,,rule,,,high,1.0,,,rule_keep: clean,seed_remap,high,seed: subcortical → non_neocortex
659,dorsal MEC,dorsal medial entorhinal cortex,Mouse,PM37873152,8,5,non_neocortex,non_neocortex,no,yes,suitable,,rule,,,high,1.0,,,rule_keep: clean,seed_keyword,high,seed: cortical + keyword 'entorhinal' → non_neocortex
660,dorsal motor nucleus of the vagus,dorsal motor nucleus of the vagus,Mouse,PM40890024,8,6,non_neocortex,non_neocortex,no,yes,suitable,,rule,,,high,1.0,,,rule_keep: clean,seed_remap,high,seed: subcortical → non_neocortex
661,dorsal raphe nucleus,dorsal raphe nucleus,Mouse,PM39672518,8,8,non_neocortex,non_neocortex,no,yes,suitable,,rule,,,high,1.0,,,rule_keep: clean,seed_remap,high,seed: subcortical → non_neocortex
662,dorsolateral prefrontal cortex,dorsolateral prefrontal cortex,Human,PM38973167,8,7,neocortex,neocortex,no,yes,suitable,,rule,,,high,0.98,,,rule_keep: clean,flash,high,Dorsolateral prefrontal cortex is a neocortical region. | dorsolateral prefrontal cortex is clearly neocortex | Dorsolateral prefrontal cortex is a well-defined neocortical region in humans.
663,engrafted cerebral organoids,,Mouse,PM32679062,8,1,other,other,no,yes,unsuitable,other,rule,,rule_prior_other,high,1.0,,,rule_keep: rule_prior_other,seed_remap,high,seed: other kept
664,fastigial nucleus,fastigial nucleus,Mouse,PM32639229,8,2,non_neocortex,non_neocortex,no,yes,suitable,,rule,,,high,1.0,,,rule_keep: clean,seed_remap,high,seed: subcortical → non_neocortex
665,FDI,First Dorsal Interosseus muscle,Human,PM37210757,8,4,other,other,no,yes,unsuitable,other,rule,,rule_prior_other,high,1.0,,,rule_keep: rule_prior_other,seed_remap,high,seed: other kept
