structure_name,category,species,paper,rcs_rank,rcs_candidate_homba_id,rcs_candidate_name,rcs_candidate_acronym,rcs_candidate_dhba_name,rcs_candidate_dhba_acronym,rcs_candidate_parent_id,rcs_candidate_graph_order,rcs_candidate_depth,rcs_score,rcs_methods,rcs_matched_query,rcs_matched_alias,rcs_review_flag,rcs_modifier_terms,rcs_modifier_match_score,rcs_hierarchy_reason,rcs_dhba_filter
Solitary tract,white_matter,Human,Agostinelli2023,1,HOMBA:12783,solitary tract,sol,solitary tract,sol,HOMBA:AA30489,1683,1607,1.0,bm25+exact+fuzzy,Solitary tract,Solitary tract,high_confidence,,1.0,,both
Medial longitudinal fasciculus,white_matter,Human,Agostinelli2023,1,HOMBA:12764,medial longitudinal fasciculus,mlf,medial longitudinal fasciculus,mlf,HOMBA:AA30489,1677,1607,1.0,bm25+exact+fuzzy,Medial longitudinal fasciculus,Medial longitudinal fasciculus,high_confidence,medial,1.0,,both
Medial lemniscus,white_matter,Human,Agostinelli2023,1,HOMBA:12763,medial lemniscus,ml,medial lemniscus,ml,HOMBA:AA30489,1676,1607,1.0,bm25+exact+fuzzy,Medial lemniscus,Medial lemniscus,high_confidence,medial,1.0,,both
Superior cerebellar peduncle,white_matter,Human,Agostinelli2023,1,HOMBA:12354,superior cerebellar peduncle (brachium conjunctivum),scp,superior cerebellar peduncle (brachium conjunctivum),scp,HOMBA:AA30489,1685,1607,1.0,bm25+exact+fuzzy,Superior cerebellar peduncle,Superior cerebellar peduncle,high_confidence,,1.0,,both
Middle cerebellar peduncle,white_matter,Human,Agostinelli2023,1,HOMBA:12768,middle cerebellar peduncle (brachium pontis),mcp,middle cerebellar peduncle,mcp,HOMBA:AA30489,1675,1607,1.0,bm25+exact+fuzzy,Middle cerebellar peduncle,Middle cerebellar peduncle,high_confidence,,1.0,,both
Corticospinal tract (pyramids),white_matter,Human,Agostinelli2023,1,HOMBA:12047,corticospinal tract,csp,corticospinal fibers,csp,HOMBA:12773,1682,1680,0.88,bm25+exact+fuzzy,Corticospinal tract,Corticospinal tract,needs_review,pyramids,0.0,,both
Cerebellar cortex (molecular layer),gray_matter,Human,Agostinelli2023,1,HOMBA:AA30427,molecular layer of cerebellar cortex,CbL1,,,HOMBA:AA30426,1156,1156,0.956353,bm25+fuzzy,Cerebellar cortex (molecular layer),molecular layer of cerebellar cortex,high_confidence,molecular;layer;molecular layer,1.0,,both
Cerebellar cortex (Purkinje cell layer),gray_matter,Human,Agostinelli2023,1,HOMBA:AA30428,Purkinje cell layer of cerebellar cortex,CbL2,,,HOMBA:AA30426,1157,1156,1.0,bm25+fuzzy,cerebellar cortex purkinje cell layer of cerebellar cortex,Purkinje cell layer of cerebellar cortex,high_confidence,purkinje;cell;layer;purkinje cell layer,1.0,,both
Cerebellar cortex (granular layer),gray_matter,Human,Agostinelli2023,1,HOMBA:10657,cerebellar cortex,CBC,cerebellar cortex,CBC,HOMBA:10656,1103,1103,0.88,bm25+exact+fuzzy,Cerebellar cortex,Cerebellar cortex,needs_review,granular;layer;granular layer,0.0,,both
Cerebellar vermis,gray_matter,Human,Agostinelli2023,1,HOMBA:10658,cerebellar vermis,CbVe,cerebellar vermis,CBV,HOMBA:AA30563,2045,2045,1.0,bm25+exact+fuzzy,Cerebellar vermis,Cerebellar vermis,high_confidence,,1.0,,both
Cerebellar hemisphere,gray_matter,Human,Agostinelli2023,1,HOMBA:10659,cerebellar hemisphere,CbH,cerebellar hemisphere,CBH,HOMBA:AA30563,2046,2045,1.0,bm25+exact+fuzzy+hierarchy_parent,Cerebellar hemisphere,Cerebellar hemisphere,high_confidence,,1.0,common_parent_of_2_candidates,both
Flocculus,gray_matter,Human,Agostinelli2023,1,HOMBA:AA30424,lobule Xa (flocculus),CH10a,,,HOMBA:AA30423,1153,1153,1.0,bm25+exact+fuzzy,Flocculus,Flocculus,high_confidence,,1.0,,both
Fastigial nucleus,gray_matter,Human,Agostinelli2023,1,HOMBA:12402,fastigial (medial) nucleus,FAS,fastigial (medial) nucleus,Fas,HOMBA:10660,1166,1160,1.0,bm25+exact+fuzzy+hierarchy_parent,Fastigial nucleus,Fastigial nucleus,high_confidence,,1.0,common_parent_of_2_candidates,both
Globose nucleus,gray_matter,Human,Agostinelli2023,1,HOMBA:12400,medial interpositus (globose) nucleus,InPm,medial interpositus (globose) nucleus,InPM,HOMBA:12399,1164,1164,1.0,bm25+exact+fuzzy,Globose nucleus,Globose nucleus,high_confidence,,1.0,,both
Emboliform nucleus,gray_matter,Human,Agostinelli2023,1,HOMBA:12401,lateral interpositus (emboliform) nucleus,InPl,lateral interpositus (emboliform) nucleus,InPL,HOMBA:12399,1165,1164,1.0,bm25+exact+fuzzy,Emboliform nucleus,Emboliform nucleus,high_confidence,,1.0,,both
Dentate nucleus,gray_matter,Human,Agostinelli2023,1,HOMBA:12396,dentate (lateral) nucleus,DT,dentate (lateral) nucleus,DT,HOMBA:10660,1160,1160,1.0,bm25+exact+fuzzy+hierarchy_parent,Dentate nucleus,Dentate nucleus,high_confidence,,1.0,common_parent_of_2_candidates,both
Inferior olive,gray_matter,Human,Agostinelli2023,1,HOMBA:12600,inferior olive,IO,inferior olive,IO,HOMBA:12595,1403,1399,1.0,bm25+exact+fuzzy+hierarchy_parent,Inferior olive,Inferior olive,high_confidence,,1.0,common_parent_of_7_candidates,both
Precentral gyrus,gray_matter,Human,TzourioMazoyer2002,1,HOMBA:12114,precentral gyrus,PrCG,precentral gyrus,PrCG,HOMBA:12113,1912,1912,1.0,bm25+exact+fuzzy,Precentral gyrus,Precentral gyrus,high_confidence,,1.0,,both
Postcentral gyrus,gray_matter,Human,TzourioMazoyer2002,1,HOMBA:12132,postcentral gyrus,PoCG,postcentral gyrus,PoCG,HOMBA:12113,1929,1912,1.0,bm25+exact+fuzzy,Postcentral gyrus,Postcentral gyrus,high_confidence,,1.0,,both
Rolandic operculum,gray_matter,Human,TzourioMazoyer2002,1,HOMBA:12127,frontal operculum,FrO,frontal operculum,FrO,HOMBA:12113,1928,1912,0.48302,bm25+fuzzy,Rolandic operculum,frontal operculum,low_confidence,,1.0,,both
Superior frontal gyrus (dorsolateral),gray_matter,Human,TzourioMazoyer2002,1,HOMBA:12115,superior frontal gyrus,SFG,superior frontal gyrus,SFG,HOMBA:12113,1913,1912,0.88,bm25+exact+fuzzy,Superior frontal gyrus,Superior frontal gyrus,needs_review,dorsolateral,0.0,,both
Middle frontal gyrus,gray_matter,Human,TzourioMazoyer2002,1,HOMBA:12116,middle frontal gyrus,MFG,middle frontal gyrus,MFG,HOMBA:12113,1914,1912,1.0,bm25+exact+fuzzy,Middle frontal gyrus,Middle frontal gyrus,high_confidence,,1.0,,both
Inferior frontal gyrus (opercular part),gray_matter,Human,TzourioMazoyer2002,1,HOMBA:12119,"inferior frontal gyrus, opercular part",IFGop,"inferior frontal gyrus, opercular part",IFGop,HOMBA:12117,1917,1916,1.0,bm25+exact+fuzzy,Inferior frontal gyrus (opercular part),Inferior frontal gyrus (opercular part),high_confidence,opercular,1.0,,both
Inferior frontal gyrus (triangular part),gray_matter,Human,TzourioMazoyer2002,1,HOMBA:12118,"inferior frontal gyrus, triangular part",IFGtr,"inferior frontal gyrus, triangular part",IFGtr,HOMBA:12117,1916,1916,1.0,bm25+exact+fuzzy,Inferior frontal gyrus (triangular part),Inferior frontal gyrus (triangular part),high_confidence,triangular,1.0,,both
Superior frontal gyrus (medial),gray_matter,Human,TzourioMazoyer2002,1,HOMBA:12115,superior frontal gyrus,SFG,superior frontal gyrus,SFG,HOMBA:12113,1913,1912,0.88,bm25+exact+fuzzy,Superior frontal gyrus,Superior frontal gyrus,needs_review,medial,0.0,,both
Supplementary motor area,gray_matter,Human,TzourioMazoyer2002,1,HOMBA:AA30012,medial division of area 6 (supplementary motor area),SMA,,,HOMBA:10168,70,66,1.0,bm25+exact+fuzzy,Supplementary motor area,Supplementary motor area,high_confidence,,1.0,,both
Paracentral lobule,gray_matter,Human,TzourioMazoyer2002,1,HOMBA:AA30381,lobule II-III (central lobule),CV23,,,HOMBA:AA30379,1108,1107,0.853333,bm25+fuzzy+hierarchy_parent,Paracentral lobule,central lobule,needs_review,,1.0,common_parent_of_2_candidates,both
Superior frontal gyrus (orbital part),gray_matter,Human,TzourioMazoyer2002,1,HOMBA:12115,superior frontal gyrus,SFG,superior frontal gyrus,SFG,HOMBA:12113,1913,1912,0.88,bm25+exact+fuzzy,Superior frontal gyrus,Superior frontal gyrus,needs_review,orbital,0.0,,both
Superior frontal gyrus (medial orbital),gray_matter,Human,TzourioMazoyer2002,1,HOMBA:12115,superior frontal gyrus,SFG,superior frontal gyrus,SFG,HOMBA:12113,1913,1912,0.88,bm25+exact+fuzzy,Superior frontal gyrus,Superior frontal gyrus,needs_review,medial;orbital;medial orbital,0.0,,both
Middle frontal gyrus (orbital part),gray_matter,Human,TzourioMazoyer2002,1,HOMBA:12116,middle frontal gyrus,MFG,middle frontal gyrus,MFG,HOMBA:12113,1914,1912,0.88,bm25+exact+fuzzy,Middle frontal gyrus,Middle frontal gyrus,needs_review,orbital,0.0,,both
Inferior frontal gyrus (orbital part),gray_matter,Human,TzourioMazoyer2002,1,HOMBA:12117,inferior frontal gyrus,IFG,inferior frontal gyrus,IFG,HOMBA:12113,1915,1912,0.88,bm25+exact+fuzzy,Inferior frontal gyrus,Inferior frontal gyrus,needs_review,orbital,0.0,,both
Gyrus rectus,gray_matter,Human,TzourioMazoyer2002,1,HOMBA:12121,rectus gyrus,ReG,gyrus rectus (straight gyrus),ReG,HOMBA:12113,1920,1912,1.0,bm25+exact+fuzzy,Gyrus rectus,Gyrus rectus,high_confidence,,1.0,,both
Olfactory cortex,gray_matter,Human,TzourioMazoyer2002,1,HOMBA:11371,olfactory division of entorhinal cortex,EO,olfactory part of entorhinal cortex,EO,HOMBA:10318,278,278,0.640418,bm25+fuzzy,Olfactory cortex,olfactory division of entorhinal cortex,needs_review,,1.0,,both
Superior temporal gyrus,gray_matter,Human,TzourioMazoyer2002,1,HOMBA:12140,superior temporal gyrus,STG,superior temporal gyrus,STG,HOMBA:12139,1960,1960,1.0,bm25+exact+fuzzy,Superior temporal gyrus,Superior temporal gyrus,high_confidence,,1.0,,both
Heschl gyrus,gray_matter,Human,TzourioMazoyer2002,1,HOMBA:12150,cuneus (gyrus),Cun,cuneus,Cun,HOMBA:12148,1992,1991,0.625,bm25+fuzzy,Heschl gyrus,gyrus,needs_review,,1.0,,both
Middle temporal gyrus,gray_matter,Human,TzourioMazoyer2002,1,HOMBA:12141,middle temporal gyrus,MTG,middle temporal gyrus,MTG,HOMBA:12139,1961,1960,1.0,bm25+exact+fuzzy,Middle temporal gyrus,Middle temporal gyrus,high_confidence,,1.0,,both
Inferior temporal gyrus,gray_matter,Human,TzourioMazoyer2002,1,HOMBA:12142,inferior temporal gyrus,ITG,inferior temporal gyrus,ITG,HOMBA:12139,1962,1960,1.0,bm25+exact+fuzzy,Inferior temporal gyrus,Inferior temporal gyrus,high_confidence,,1.0,,both
Superior parietal gyrus,gray_matter,Human,TzourioMazoyer2002,1,HOMBA:12131,parietal lobe,ParL,parietal lobe,ParL,HOMBA:12112,1945,1911,0.877148,bm25+hierarchy_parent,Superior parietal gyrus,parietal lobe,needs_review,,1.0,common_parent_of_6_candidates,both
Inferior parietal lobule,gray_matter,Human,TzourioMazoyer2002,1,HOMBA:12134,inferior parietal lobule (gyrus),IPL,inferior parietal lobule,IPL,HOMBA:12131,1947,1946,1.0,bm25+exact+fuzzy,Inferior parietal lobule,Inferior parietal lobule,high_confidence,,1.0,,both
Angular gyrus,gray_matter,Human,TzourioMazoyer2002,1,HOMBA:12136,angular gyrus,AnG,angular gyrus,AnG,HOMBA:12134,1949,1948,1.0,bm25+exact+fuzzy,Angular gyrus,Angular gyrus,high_confidence,,1.0,,both
Supramarginal gyrus,gray_matter,Human,TzourioMazoyer2002,1,HOMBA:12135,supramarginal gyrus,SMG,supramarginal gyrus,SMG,HOMBA:12134,1948,1948,1.0,bm25+exact+fuzzy,Supramarginal gyrus,Supramarginal gyrus,high_confidence,,1.0,,both
Precuneus,gray_matter,Human,TzourioMazoyer2002,1,HOMBA:12137,precuneaus (gyrus),PrCun,precuneus,PrCun,HOMBA:12131,1950,1946,1.0,bm25+exact+fuzzy,Precuneus,Precuneus,high_confidence,,1.0,,both
Superior occipital gyrus,gray_matter,Human,TzourioMazoyer2002,1,HOMBA:12154,superior occipital gyrus,SOG,superior occipital gyrus,SOG,HOMBA:12148,1995,1991,1.0,bm25+exact+fuzzy,Superior occipital gyrus,Superior occipital gyrus,high_confidence,,1.0,,both
Middle occipital gyrus,gray_matter,Human,TzourioMazoyer2002,1,HOMBA:12148,occipital lobe,OccL,occipital lobe,OccL,HOMBA:12112,1990,1911,0.643946,bm25+fuzzy+hierarchy_parent,Middle occipital gyrus,occipital lobe,needs_review,,1.0,common_parent_of_5_candidates,both
Inferior occipital gyrus,gray_matter,Human,TzourioMazoyer2002,1,HOMBA:12153,inferior occipital gyrus,IOG,inferior occipital gyrus,IOG,HOMBA:12148,1994,1991,1.0,bm25+exact+fuzzy,Inferior occipital gyrus,Inferior occipital gyrus,high_confidence,,1.0,,both
Cuneus,gray_matter,Human,TzourioMazoyer2002,1,HOMBA:12150,cuneus (gyrus),Cun,cuneus,Cun,HOMBA:12148,1992,1991,1.0,bm25+exact+fuzzy,Cuneus,Cuneus,high_confidence,,1.0,,both
Calcarine fissure and surrounding cortex,gray_matter,Human,TzourioMazoyer2002,1,HOMBA:10612,calcarine sulcus (fissure),cas,calcarine fissure,cas,HOMBA:10611,1840,1840,0.571632,bm25+fuzzy+hierarchy_parent,Calcarine fissure and surrounding cortex,calcarine fissure,low_confidence,,1.0,common_parent_of_2_candidates,both
Lingual gyrus,gray_matter,Human,TzourioMazoyer2002,1,HOMBA:12151,lingual gyrus,LiG,lingual gyrus,LiG,HOMBA:12148,1993,1991,1.0,bm25+exact+fuzzy,Lingual gyrus,Lingual gyrus,high_confidence,,1.0,,both
Fusiform gyrus,gray_matter,Human,TzourioMazoyer2002,1,HOMBA:AA30549,fusiform (occipitotemporal) gyrus,FuG,,,HOMBA:12139,1963,1960,1.0,bm25+exact+fuzzy,Fusiform gyrus,Fusiform gyrus,high_confidence,,1.0,,both
Temporal pole (superior temporal gyrus),gray_matter,Human,TzourioMazoyer2002,1,HOMBA:12146,temporal pole (temporopolar cortex),TP,temporal pole,TP,HOMBA:12139,1966,1960,1.0,bm25+exact+fuzzy,Temporal pole,Temporal pole,modifier_conflict,superior;temporal;gyrus;superior temporal gyrus,0.25,,both
Temporal pole (middle temporal gyrus),gray_matter,Human,TzourioMazoyer2002,1,HOMBA:12146,temporal pole (temporopolar cortex),TP,temporal pole,TP,HOMBA:12139,1966,1960,1.0,bm25+exact+fuzzy,Temporal pole,Temporal pole,modifier_conflict,middle;temporal;gyrus;middle temporal gyrus,0.25,,both
Anterior cingulate and paracingulate gyri,gray_matter,Human,TzourioMazoyer2002,1,HOMBA:146034872,paracingulate gyrus,PaCG,paracingulate gyrus,PaCG,HOMBA:12113,1930,1912,0.449679,bm25+fuzzy,Anterior cingulate and paracingulate gyri,paracingulate gyrus,low_confidence,,1.0,,both
Median cingulate and paracingulate gyri,gray_matter,Human,TzourioMazoyer2002,1,HOMBA:146034872,paracingulate gyrus,PaCG,paracingulate gyrus,PaCG,HOMBA:12113,1930,1912,0.455226,bm25+fuzzy,Median cingulate and paracingulate gyri,paracingulate gyrus,low_confidence,,1.0,,both
Posterior cingulate gyrus,gray_matter,Human,TzourioMazoyer2002,1,HOMBA:10285,posterior cingulate cortex (PCC),PCC,posterior (caudal) cingulate cortex,PCC,HOMBA:10277,224,206,1.0,bm25+exact+fuzzy,Posterior cingulate gyrus,Posterior cingulate gyrus,high_confidence,posterior,1.0,,both
Hippocampus,gray_matter,Human,TzourioMazoyer2002,1,HOMBA:AA30093,hippocampus,Hip,,,HOMBA:10293,310,297,1.0,bm25+exact+fuzzy,Hippocampus,Hippocampus,high_confidence,,1.0,,both
Parahippocampal gyrus,gray_matter,Human,TzourioMazoyer2002,1,HOMBA:12162,parahippocampal gyrus,PHG,parahippocampal gyrus,PHG,HOMBA:12139,1980,1960,1.0,bm25+exact+fuzzy+hierarchy_parent,Parahippocampal gyrus,Parahippocampal gyrus,high_confidence,,1.0,common_parent_of_3_candidates,both
Insula,gray_matter,Human,TzourioMazoyer2002,1,HOMBA:12176,insular lobe,InL,insular lobe,InL,HOMBA:12112,2001,1911,1.0,bm25+exact+fuzzy+hierarchy_parent,Insula,Insula,high_confidence,,1.0,common_parent_of_2_candidates,both
Amygdala,gray_matter,Human,TzourioMazoyer2002,1,HOMBA:10361,amygdaloid complex,AMY,amygdaloid complex,AMY,HOMBA:10331,567,451,1.0,bm25+exact+fuzzy,Amygdala,Amygdala,high_confidence,,1.0,,both
Caudate nucleus,gray_matter,Human,TzourioMazoyer2002,1,HOMBA:10334,caudate nucleus (mediodorsal division of the CP),Ca,caudate nucleus,Ca,HOMBA:AA30192,456,456,1.0,bm25+exact+fuzzy+hierarchy_parent,Caudate nucleus,Caudate nucleus,high_confidence,,1.0,common_parent_of_4_candidates,both
Lenticular nucleus (putamen),gray_matter,Human,TzourioMazoyer2002,1,HOMBA:10338,putamen (lateroventral division of the CP),Pu,putamen,Pu,HOMBA:AA30192,467,456,1.0,bm25+exact+fuzzy,Lenticular nucleus,Lenticular nucleus,high_confidence,putamen,1.0,,both
Lenticular nucleus (pallidum),gray_matter,Human,TzourioMazoyer2002,1,HOMBA:10338,putamen (lateroventral division of the CP),Pu,putamen,Pu,HOMBA:AA30192,467,456,0.88,bm25+exact+fuzzy,Lenticular nucleus,Lenticular nucleus,needs_review,pallidum,0.0,,both
Thalamus,gray_matter,Human,TzourioMazoyer2002,1,HOMBA:10390,thalamus,THM,thalamus,THM,HOMBA:10389,678,678,1.0,bm25+exact+fuzzy,Thalamus,Thalamus,high_confidence,,1.0,,both
Caudate nucleus,gray_matter,Human,Yelnik2007,1,HOMBA:10334,caudate nucleus (mediodorsal division of the CP),Ca,caudate nucleus,Ca,HOMBA:AA30192,456,456,1.0,bm25+exact+fuzzy+hierarchy_parent,Caudate nucleus,Caudate nucleus,high_confidence,,1.0,common_parent_of_4_candidates,both
Putamen,gray_matter,Human,Yelnik2007,1,HOMBA:10338,putamen (lateroventral division of the CP),Pu,putamen,Pu,HOMBA:AA30192,467,456,1.0,bm25+exact+fuzzy+hierarchy_parent,Putamen,Putamen,high_confidence,,1.0,common_parent_of_4_candidates,both
External globus pallidus,gray_matter,Human,Yelnik2007,1,HOMBA:10343,external division of globus pallidus,GPe,external segment of globus pallidus,GPe,HOMBA:10342,513,513,0.978625,bm25+fuzzy,External globus pallidus,external division of globus pallidus,high_confidence,external,1.0,,both
Internal globus pallidus,gray_matter,Human,Yelnik2007,1,HOMBA:10342,globus pallidus (paleostriatum),GP,globus pallidus,GP,HOMBA:AA30190,512,453,0.938625,bm25+fuzzy+hierarchy_parent,Internal globus pallidus,globus pallidus (paleostriatum),high_confidence,,1.0,common_parent_of_3_candidates,both
Subthalamic nucleus,gray_matter,Human,Yelnik2007,1,HOMBA:10466,subthalamic nucleus,STH,subthalamic nucleus,STH,HOMBA:10465,856,856,1.0,bm25+exact+fuzzy,Subthalamic nucleus,Subthalamic nucleus,high_confidence,,1.0,,both
Substantia nigra,gray_matter,Human,Yelnik2007,1,HOMBA:12251,substantia nigra,SN,substantia nigra,SN,HOMBA:AA30368,1043,1043,1.0,bm25+exact+fuzzy+hierarchy_parent,Substantia nigra,Substantia nigra,high_confidence,,1.0,common_parent_of_4_candidates,both
Nucleus accumbens,gray_matter,Human,Yelnik2007,1,HOMBA:10339,nucleus accumbens,NAC,nucleus accumbens,NAC,HOMBA:AA30195,485,485,1.0,bm25+exact+fuzzy+hierarchy_parent,Nucleus accumbens,Nucleus accumbens,high_confidence,,1.0,common_parent_of_2_candidates,both
Red nucleus,gray_matter,Human,Yelnik2007,1,HOMBA:12247,red nucleus,RN,red nucleus,RN,HOMBA:AA30363,1032,1032,1.0,bm25+exact+fuzzy+hierarchy_parent,Red nucleus,Red nucleus,high_confidence,,1.0,common_parent_of_3_candidates,both
Zona incerta,gray_matter,Human,Yelnik2007,1,HOMBA:10463,zona incerta,ZI,zona incerta,ZI,HOMBA:10461,832,829,1.0,bm25+exact+fuzzy,Zona incerta,Zona incerta,high_confidence,,1.0,,both
Mammillary body,gray_matter,Human,Yelnik2007,1,HOMBA:15546,mammillary body,MB,mammillary body,MB,HOMBA:AA30560,2007,2005,1.0,bm25+exact+fuzzy,Mammillary body,Mammillary body,high_confidence,,1.0,,both
Anterior thalamic nucleus,gray_matter,Human,Yelnik2007,1,HOMBA:10392,anterior nuclear complex of thalamus,ANC,anterior nuclear complex of thalamus,ANC,HOMBA:10391,681,681,1.0,bm25+exact+fuzzy,anterior thalamic nuclei,anterior thalamic nuclei,high_confidence,,1.0,,both
Ventral anterior thalamic nucleus,gray_matter,Human,Yelnik2007,1,HOMBA:AA30339,ventral anterior hypothalamic nucleus,VHN,,,HOMBA:10473,881,879,0.904221,bm25+fuzzy,Ventral anterior thalamic nucleus,ventral anterior hypothalamic nucleus,high_confidence,ventral,1.0,,both
Ventral lateral thalamic nucleus,gray_matter,Human,Yelnik2007,1,HOMBA:10420,ventral lateral nucleus of thalamus,VL,ventral lateral nucleus of thalamus,VL,HOMBA:AA30289,747,741,0.804396,bm25+fuzzy,Ventral lateral thalamic nucleus,ventral lateral nucleus of thalamus,needs_review,ventral;lateral,1.0,,both
Ventralis intermedius,gray_matter,Human,Yelnik2007,1,HOMBA:12187,anterior (ventral /principal) pretectal nucleus,APT,anterior (ventral /principal) pretectal nucleus,APT,HOMBA:12182,958,954,0.37625,fuzzy,Ventralis intermedius,ventral,low_confidence,,1.0,,both
Ventral posterior internal thalamic nucleus,gray_matter,Human,Yelnik2007,1,HOMBA:12053,posterior thalamic radiation,pthr,posterior thalamic radiation,pthr,HOMBA:12052,1635,1635,0.589648,bm25+fuzzy,Ventral posterior internal thalamic nucleus,posterior thalamic radiation,modifier_conflict,ventral;posterior,0.5,,both
Ventral posterior external thalamic nucleus,gray_matter,Human,Yelnik2007,1,HOMBA:12799,ventral external fibers in hindbrain,vexf,ventral external fibers,vexf,HOMBA:266441725,1813,1813,0.588529,bm25+fuzzy,Ventral posterior external thalamic nucleus,ventral external fibers,modifier_conflict,ventral;posterior;external,0.666667,,both
Mediodorsal thalamic nucleus,gray_matter,Human,Yelnik2007,1,HOMBA:AA30276,ventral midline nuclei of thalamus,MiV,,,HOMBA:13045,708,701,0.730692,hierarchy_parent,Mediodorsal thalamic nucleus,ventral midline nuclei of thalamus,needs_review,,1.0,common_parent_of_2_candidates,both
Pulvinar,gray_matter,Human,Yelnik2007,1,HOMBA:10409,pulvinar of thalamus,Pul,pulvinar of thalamus,Pul,HOMBA:AA30282,728,725,1.0,bm25+exact+fuzzy+hierarchy_parent,Pulvinar,Pulvinar,high_confidence,,1.0,common_parent_of_4_candidates,both
Centre median parafascicular complex,gray_matter,Human,Yelnik2007,1,HOMBA:13338,median eminence,MnE,median eminence,ME,HOMBA:10483,919,900,0.284714,bm25+hierarchy_parent,Centre median parafascicular complex,median eminence,low_confidence,,1.0,common_parent_of_2_candidates,both
Reticular perithalamic nucleus,gray_matter,Human,Yelnik2007,1,HOMBA:10464,reticular nucleus of thalamus,Rt,reticular nucleus of thalamus,R,HOMBA:10461,829,829,0.724388,bm25+fuzzy,reticular perithalamic nuclei,reticular nuclei of thalamus,needs_review,reticular,1.0,,both
Internal capsule,white_matter,Human,Yelnik2007,1,HOMBA:10581,internal capsule,ic,internal capsule,ic,HOMBA:AA30489,1626,1607,1.0,bm25+exact+fuzzy+hierarchy_parent,Internal capsule,Internal capsule,high_confidence,,1.0,common_parent_of_3_candidates,both
Cerebral peduncle,white_matter,Human,Yelnik2007,1,HOMBA:12330,cerebral peduncle (crus cerebri),cpd,cerebral peduncle (crus cerebri),cpd,HOMBA:AA30489,1665,1607,1.0,bm25+exact+fuzzy,Cerebral peduncle,Cerebral peduncle,high_confidence,,1.0,,both
Forel's field H,white_matter,Human,Yelnik2007,1,HOMBA:10653,gray matter of hindbrain (rhombencephalon),HB,hindbrain (rhombencephalon),H,HOMBA:AA30000,1099,3,0.285352,bm25,Forel's field H,H,low_confidence,,1.0,,both
Forel's field H1,white_matter,Human,Yelnik2007,1,HOMBA:10593,thalamic fasciculus (field H1),thf,thalamic fasciculus,thf,HOMBA:AA30492,1805,1689,0.767331,bm25+fuzzy,Forel's field H1,field H1,needs_review,,1.0,,both
Forel's field H2,white_matter,Human,Yelnik2007,1,HOMBA:10585,lenticular fasciculus (field H2),lf,lenticular fasciculus,lf,HOMBA:AA30489,1645,1607,0.767331,bm25+fuzzy,Forel's field H2,field H2,needs_review,,1.0,,both
Ansa lenticularis,white_matter,Human,Yelnik2007,1,HOMBA:10571,ansa lenticularis,al,ansa lenticularis,al,HOMBA:AA30492,1691,1689,1.0,bm25+exact+fuzzy,Ansa lenticularis,Ansa lenticularis,high_confidence,,1.0,,both
Brachium conjunctivum,white_matter,Human,Yelnik2007,1,HOMBA:12354,superior cerebellar peduncle (brachium conjunctivum),scp,superior cerebellar peduncle (brachium conjunctivum),scp,HOMBA:AA30489,1685,1607,1.0,bm25+exact+fuzzy,Brachium conjunctivum,Brachium conjunctivum,high_confidence,,1.0,,both
Fornix,white_matter,Human,Yelnik2007,1,HOMBA:10576,fornix,fx,fornix,fx,HOMBA:AA30489,1619,1607,1.0,bm25+exact+fuzzy+hierarchy_parent,Fornix,Fornix,high_confidence,,1.0,common_parent_of_4_candidates,both
Mammillothalamic tract,white_matter,Human,Yelnik2007,1,HOMBA:10586,mammillothalamic tract,mtt,mammillothalamic tract,mtt,HOMBA:AA30489,1648,1607,1.0,bm25+exact+fuzzy,Mammillothalamic tract,Mammillothalamic tract,high_confidence,,1.0,,both
Optic tract,white_matter,Human,Yelnik2007,1,HOMBA:10589,optic tract,ot,optic tract,ot,HOMBA:AA30489,1654,1607,1.0,bm25+exact+fuzzy,Optic tract,Optic tract,high_confidence,,1.0,,both
Lateral ventricle,ventricle,Human,Yelnik2007,1,HOMBA:10598,body of lateral ventricles,LVb,body of lateral ventricle,bLV,HOMBA:AA30473,1520,1519,0.976667,bm25+fuzzy,Lateral ventricle,body of lateral ventricle,high_confidence,lateral,1.0,,both
CA1,gray_matter,Human,Yushkevich2009,1,HOMBA:10297,CA1 region of hippocampus,CA1,CA1 region of Hipp,CA1,HOMBA:10296,312,312,1.0,bm25+exact+fuzzy+hierarchy_parent,CA1,CA1,high_confidence,,1.0,common_parent_of_2_candidates,both
CA2,gray_matter,Human,Yushkevich2009,1,HOMBA:10298,CA2 region of hippocampus,CA2,CA2 region of Hipp,CA2,HOMBA:10296,320,312,1.0,bm25+exact+fuzzy+hierarchy_parent,CA2,CA2,high_confidence,,1.0,common_parent_of_2_candidates,both
CA3,gray_matter,Human,Yushkevich2009,1,HOMBA:10299,CA3 region of hippocampus,CA3,CA3 region of Hipp,CA3,HOMBA:10296,328,312,1.0,bm25+exact+fuzzy+hierarchy_parent,CA3,CA3,high_confidence,,1.0,common_parent_of_2_candidates,both
CA4 (dentate hilus),gray_matter,Human,Yushkevich2009,1,HOMBA:10300,CA4 region of hippocampus,CA4,CA4 region of Hipp,CA4,HOMBA:10296,336,312,0.88,bm25+exact+fuzzy,CA4,CA4,needs_review,dentate;hilus;dentate hilus,0.0,,both
