dataset,query,review_flag,score,top_homba_id,top_name,methods,matched_query,matched_alias,modifier_terms,modifier_match_score,rank2_name,rank2_score,llm_check
corpus,Septal area,high_confidence,1.0,HOMBA:10350,septal region (septal nuclear complex),bm25+exact+fuzzy+hierarchy_parent,Septal area,Septal area,,1.0,rostral septal nuclear complex,0.768,correct
corpus,Solitary tract,high_confidence,1.0,HOMBA:12783,solitary tract,bm25+exact+fuzzy,Solitary tract,Solitary tract,,1.0,solitary nucleus,0.715038,correct
corpus,Spinal trigeminal nucleus,high_confidence,1.0,HOMBA:12572,spinal trigeminal nucleus,bm25+exact+fuzzy+hierarchy_parent,Spinal trigeminal nucleus,Spinal trigeminal nucleus,,1.0,afferent nuclei of cranial nerves in pons,0.817465,correct
corpus,Spinal trigeminal nucleus (caudalis),high_confidence,1.0,HOMBA:12573,"spinal trigeminal nucleus, caudal division",bm25+fuzzy,Spinal trigeminal nucleus (caudalis),spinal trigeminal nucleus caudalis part,caudalis,1.0,spinal trigeminal nucleus,0.88,correct
corpus,Spinal trigeminal nucleus (interpolaris),high_confidence,1.0,HOMBA:12578,"spinal trigeminal nucleus, interpolar division",bm25+fuzzy,Spinal trigeminal nucleus (interpolaris),spinal trigeminal nucleus interpolaris part,interpolaris,1.0,spinal trigeminal nucleus,0.88,correct
corpus,Spinal trigeminal tract,high_confidence,1.0,HOMBA:12792,spinal trigeminal tract,bm25+exact+fuzzy,Spinal trigeminal tract,Spinal trigeminal tract,,1.0,mesencephalic trigeminal tract,0.634568,correct
corpus,Spinothalamic tract,high_confidence,1.0,HOMBA:12789,spinothalamic tract,bm25+exact+fuzzy,Spinothalamic tract,Spinothalamic tract,,1.0,dorsolateral spinothalamic tract in spinal cord,0.590598,correct
corpus,Subiculum,high_confidence,1.0,HOMBA:10302,subiculum proper (strictly defined subiculum),bm25+exact+fuzzy+hierarchy_parent,Subiculum,Subiculum,,1.0,major division of subiculum,0.789559,correct
corpus,Substantia nigra,high_confidence,1.0,HOMBA:12251,substantia nigra,bm25+exact+fuzzy+hierarchy_parent,Substantia nigra,Substantia nigra,,1.0,"substantia nigra, compact division",0.660445,correct
corpus,Subthalamic nucleus,high_confidence,1.0,HOMBA:10466,subthalamic nucleus,bm25+exact+fuzzy,Subthalamic nucleus,Subthalamic nucleus,,1.0,subthalamic fasciculus,0.273382,correct
corpus,Superior cerebellar peduncle,high_confidence,1.0,HOMBA:12354,superior cerebellar peduncle (brachium conjunctivum),bm25+exact+fuzzy,Superior cerebellar peduncle,Superior cerebellar peduncle,,1.0,decussation of superior cerebellar peduncle,0.7425,correct
corpus,Superior cerebellar peduncle (decussation),high_confidence,1.0,HOMBA:12337,decussation of superior cerebellar peduncle,bm25+fuzzy,Superior cerebellar peduncle,decussation of superior cerebellar peduncle,decussation,1.0,superior cerebellar peduncle (brachium conjunctivum),0.88,correct
corpus,Superior colliculus,high_confidence,1.0,HOMBA:12292,superior colliculus,bm25+exact+fuzzy+hierarchy_parent,Superior colliculus,Superior colliculus,,1.0,brachium of superior colliculus,0.813844,correct
corpus,Superior occipital gyrus,high_confidence,1.0,HOMBA:12154,superior occipital gyrus,bm25+exact+fuzzy,Superior occipital gyrus,Superior occipital gyrus,,1.0,occipital lobe,0.97,correct
corpus,Superior salivatory nucleus,high_confidence,1.0,HOMBA:12435,superior salivatory nucleus,bm25+exact+fuzzy,Superior salivatory nucleus,Superior salivatory nucleus,,1.0,superior olivary complex,0.363755,correct
corpus,Superior temporal gyrus,high_confidence,1.0,HOMBA:12140,superior temporal gyrus,bm25+exact+fuzzy,Superior temporal gyrus,Superior temporal gyrus,,1.0,temporal lobe,0.97,correct
corpus,Supplementary motor area,high_confidence,1.0,HOMBA:AA30012,medial division of area 6 (supplementary motor area),bm25+exact+fuzzy,Supplementary motor area,Supplementary motor area,,1.0,lamina IX of spinal cord (spinal motor neurons),0.302446,correct
corpus,Supramarginal gyrus,high_confidence,1.0,HOMBA:12135,supramarginal gyrus,bm25+exact+fuzzy,Supramarginal gyrus,Supramarginal gyrus,,1.0,inferior parietal lobule (gyrus),0.8342,correct
corpus,Temporal pole,high_confidence,1.0,HOMBA:12146,temporal pole (temporopolar cortex),bm25+exact+fuzzy,Temporal pole,Temporal pole,,1.0,temporal lobe,0.97,correct
corpus,Thalamus,high_confidence,1.0,HOMBA:10390,thalamus,bm25+exact+fuzzy,Thalamus,Thalamus,,1.0,regions of thalamus,0.7554,correct
corpus,Trigeminal nucleus (motor),high_confidence,1.0,HOMBA:12429,"motor nucleus of trigeminal nerve (motor trigeminal nucleus, Mo5)",bm25+fuzzy,principal sensory nucleus of trigeminal nerve motor,motor principal sensory nucleus of trigeminal nerve,motor,1.0,principal sensory nucleus of trigeminal nerve,0.88,correct
corpus,Trigeminal nucleus (principal sensory),high_confidence,1.0,HOMBA:12444,principal sensory nucleus of trigeminal nerve,bm25+exact+fuzzy,Trigeminal nucleus,Trigeminal nucleus,principal;sensory;principal sensory,1.0,spinal trigeminal nucleus,0.977518,correct
corpus,Trochlear nucleus,high_confidence,1.0,HOMBA:12206,trochlear nucleus,bm25+exact+fuzzy,Trochlear nucleus,Trochlear nucleus,,1.0,efferent nuclei of the cranial nerves in midbrain,0.97,correct
corpus,Uncinate fasciculus,high_confidence,1.0,HOMBA:10594,uncinate fasciculus,bm25+exact+fuzzy,Uncinate fasciculus,Uncinate fasciculus,,1.0,dorsal fasciculus (column) of spinal cord,0.281916,correct
corpus,Ventral anterior thalamic nucleus,high_confidence,1.0,HOMBA:10417,ventral anterior nucleus of thalamus,bm25+exact+fuzzy,Ventral anterior thalamic nucleus,Ventral anterior thalamic nucleus,ventral,1.0,anterior nuclear complex of thalamus,0.6952,correct
corpus,Ventral cochlear nucleus,high_confidence,1.0,HOMBA:12439,ventral cochlear nucleus,bm25+exact+fuzzy,Ventral cochlear nucleus,Ventral cochlear nucleus,ventral,1.0,"ventral cochlear nucleus, caudal division",0.995,correct
corpus,Ventral lateral thalamic nucleus,high_confidence,1.0,HOMBA:10420,ventral lateral nucleus of thalamus,bm25+exact+fuzzy,Ventral lateral thalamic nucleus,Ventral lateral thalamic nucleus,ventral;lateral,1.0,ventral medial nucleus of thalamus,0.808138,correct
corpus,Ventral medial thalamic nucleus,high_confidence,1.0,HOMBA:10427,ventral medial nucleus of thalamus,bm25+exact+fuzzy,Ventral medial thalamic nucleus,Ventral medial thalamic nucleus,ventral;medial,1.0,ventral lateral nucleus of thalamus,0.808138,correct
corpus,Ventral posterior thalamic nucleus,high_confidence,1.0,HOMBA:10423,ventral posterior nuclear complex of thalamus,bm25+exact+fuzzy,Ventral posterior thalamic nucleus,Ventral posterior thalamic nucleus,ventral;posterior,1.0,posterior nucleus of thalamus,0.9375,correct
corpus,Ventral tegmental area,high_confidence,1.0,HOMBA:12261,ventral tegmental area,bm25+exact+fuzzy,Ventral tegmental area,Ventral tegmental area,ventral,1.0,ventral tegmental tract in hindbrain,0.876515,correct
corpus,Zona incerta,high_confidence,1.0,HOMBA:10463,zona incerta,bm25+exact+fuzzy,Zona incerta,Zona incerta,,1.0,,,correct
corpus,Frontal orbital cortex (lateral),high_confidence,0.993571,HOMBA:10205,"lateral orbital frontal cortex (OFCl, area 12/47)",bm25+fuzzy,Frontal orbital cortex (lateral),lateral orbital frontal cortex,lateral,1.0,orbital frontal cortex,0.715158,correct
corpus,Frontal orbital cortex (medial),high_confidence,0.989407,HOMBA:10195,medial orbital frontal cortex (area 14),bm25+fuzzy,Frontal orbital cortex (medial),medial orbital frontal cortex,medial,1.0,orbital frontal cortex,0.715158,correct
corpus,Trigeminal tract (mesencephalic),high_confidence,0.982135,HOMBA:12767,mesencephalic trigeminal tract,bm25+fuzzy,Trigeminal tract (mesencephalic),mesencephalic trigeminal tract,mesencephalic,1.0,mesencephalic trigeminal nucleus,0.737812,correct
corpus,External globus pallidus,high_confidence,0.978625,HOMBA:10343,external division of globus pallidus,bm25+fuzzy,External globus pallidus,external division of globus pallidus,external,1.0,external medullary lamina of globus pallidus,0.806322,correct
corpus,Lateral ventricle,high_confidence,0.976667,HOMBA:10598,body of lateral ventricles,bm25+fuzzy,Lateral ventricle,body of lateral ventricle,lateral,1.0,atrium of lateral ventricles,0.946389,correct
corpus,Internal capsule (posterior limb),high_confidence,0.95787,HOMBA:10584,caudal limb of internal capsule,bm25+fuzzy,Internal capsule (posterior limb),posterior limb of internal capsule,posterior;limb;posterior limb,1.0,internal capsule,0.88,correct
corpus,Cerebellar cortex (molecular layer),high_confidence,0.956353,HOMBA:AA30427,molecular layer of cerebellar cortex,bm25+fuzzy,Cerebellar cortex (molecular layer),molecular layer of cerebellar cortex,molecular;layer;molecular layer,1.0,cerebellar cortex,0.88,correct
corpus,Dorsal raphe,high_confidence,0.947851,HOMBA:12223,dorsal raphe nucleus,bm25+fuzzy,Dorsal raphe,dorsal raphe nuclei,dorsal,1.0,cap of dorsal raphe nucleus,0.778654,correct
corpus,Periaqueductal gray,high_confidence,0.94,HOMBA:AA30359,periaqueductal gray region,bm25+fuzzy,Periaqueductal gray,periaqueductal gray region,,1.0,periaqueductal gray substance,0.845546,correct
species,Accumbens,high_confidence,1.0,HOMBA:10339,nucleus accumbens,bm25+exact+fuzzy+hierarchy_parent,Accumbens,Accumbens,,1.0,core of nucleus accumbens,0.7009,correct
species,Amygdalohippocampal area,high_confidence,1.0,HOMBA:10377,amygdalohippocampal area,bm25+exact+fuzzy+hierarchy_parent,Amygdalohippocampal area,Amygdalohippocampal area,,1.0,amygdalohippocampal transition area,0.665675,correct
species,Amygdalopiriform transition area,high_confidence,1.0,HOMBA:10382,amygdalocortical transition area (amygdalopiriform transition area),bm25+exact+fuzzy,Amygdalopiriform transition area,Amygdalopiriform transition area,,1.0,amygdaloid transition areas,0.97,correct
species,Amygdalostriatal transition area,high_confidence,1.0,HOMBA:10381,amygdalostriatal transition area,bm25+exact+fuzzy,Amygdalostriatal transition area,Amygdalostriatal transition area,,1.0,amygdaloid transition areas,0.353645,correct
species,Angular thalamic nucleus,high_confidence,1.0,HOMBA:AA30318,angular nucleus of thalamus,bm25+exact+fuzzy,Angular thalamic nucleus,Angular thalamic nucleus,,1.0,ventral midline nuclei of thalamus,0.369828,correct
species,Ansa Lenticularis,high_confidence,1.0,HOMBA:10571,ansa lenticularis,bm25+exact+fuzzy,Ansa Lenticularis,Ansa Lenticularis,,1.0,ansa peduncularis,0.278056,correct
species,Anterior amygdaloid area,high_confidence,1.0,HOMBA:10362,anterior amygdaloid area,bm25+exact+fuzzy+hierarchy_parent,Anterior amygdaloid area,Anterior amygdaloid area,,1.0,anterior-central nuclear group of amygdala,0.97,correct
species,Anterior commissure,high_confidence,1.0,HOMBA:10559,anterior commissure,bm25+exact+fuzzy+hierarchy_parent,Anterior commissure,Anterior commissure,,1.0,rostral (anterior) branch of anterior commissure,0.697635,correct
species,Anterior Hypothalamic Area,high_confidence,1.0,HOMBA:266441551,anterior hypothalamic area,bm25+exact+fuzzy,Anterior Hypothalamic Area,Anterior Hypothalamic Area,,1.0,anterior hypothalamic nucleus,0.650252,correct
species,Anterior hypothalamic nucleus,high_confidence,1.0,HOMBA:10475,anterior hypothalamic nucleus,bm25+exact+fuzzy,Anterior hypothalamic nucleus,Anterior hypothalamic nucleus,,1.0,anterior hypothalamic area,0.756107,correct
species,Anterior Tegmental Nucleus,high_confidence,1.0,HOMBA:AA30442,anterior tegmental nucleus,bm25+exact+fuzzy,Anterior Tegmental Nucleus,Anterior Tegmental Nucleus,,1.0,pontine raphe region,0.97,correct
species,Anterior thalamic nucleus,high_confidence,1.0,HOMBA:10392,anterior nuclear complex of thalamus,bm25+exact+fuzzy+hierarchy_parent,anterior thalamic nuclei,anterior thalamic nuclei,,1.0,ventral anterior nucleus of thalamus,0.75465,correct
species,Anterodorsal thalamic nucleus,high_confidence,1.0,HOMBA:10393,anterodorsal nucleus of thalamus,bm25+exact+fuzzy,Anterodorsal thalamic nucleus,Anterodorsal thalamic nucleus,,1.0,anterior nuclear complex of thalamus,0.8342,correct
species,Anteromedial thalamic nucleus,high_confidence,1.0,HOMBA:10394,anteromedial nucleus of thalamus,bm25+exact+fuzzy,Anteromedial thalamic nucleus,Anteromedial thalamic nucleus,,1.0,anterior nuclear complex of thalamus,0.8342,correct
species,Ascending fibers of the facial nerve,high_confidence,1.0,HOMBA:12729,ascending fibers of the facial nerve in pons,bm25+exact+fuzzy,Ascending fibers of the facial nerve,Ascending fibers of the facial nerve,,1.0,genu of the facial nerve,0.286725,correct
species,Basal nucleus (of Meynert),high_confidence,1.0,HOMBA:10353,basal nucleus of Meynert,bm25+exact+fuzzy,Basal nucleus (of Meynert),Basal nucleus (of Meynert),meynert,1.0,basal ganglia (basal nuclei),0.88,correct
species,CA1 (hippocampus),high_confidence,1.0,HOMBA:10297,CA1 region of hippocampus,bm25+exact+fuzzy,CA1,CA1,hippocampus,1.0,"lamination of hippocampal proper (CA1, CA2, CA3)",1.0,correct
species,Caudate Head,high_confidence,1.0,HOMBA:10335,head of caudate nucleus,bm25+exact+fuzzy,Caudate Head,Caudate Head,,1.0,caudate nucleus (mediodorsal division of the CP),0.8342,correct
species,Caudate nucleus,high_confidence,1.0,HOMBA:10334,caudate nucleus (mediodorsal division of the CP),bm25+exact+fuzzy+hierarchy_parent,Caudate nucleus,Caudate nucleus,,1.0,body of caudate nucleus,0.843297,correct
species,Caudate Tail,high_confidence,1.0,HOMBA:10337,tail of caudate nucleus (caudolateral division of the CP),bm25+exact+fuzzy,Caudate Tail,Caudate Tail,,1.0,caudate nucleus (mediodorsal division of the CP),0.8342,correct
species,Central lateral thalamic nucleus,high_confidence,1.0,HOMBA:10444,central lateral nucleus of thalamus,bm25+exact+fuzzy,Central lateral thalamic nucleus,Central lateral thalamic nucleus,lateral,1.0,central dorsal nucleus of thalamus,0.658362,correct
species,Central medial thalamic nucleus,high_confidence,1.0,HOMBA:10445,central medial nucleus of thalamus,bm25+exact+fuzzy,Central medial thalamic nucleus,Central medial thalamic nucleus,medial,1.0,central dorsal nucleus of thalamus,0.658801,correct
species,Cerebral peduncle,high_confidence,1.0,HOMBA:12330,cerebral peduncle (crus cerebri),bm25+exact+fuzzy,Cerebral peduncle,Cerebral peduncle,,1.0,telencephalon,0.308508,correct
species,Claustrum,high_confidence,1.0,HOMBA:10346,claustrum,bm25+exact+fuzzy+hierarchy_parent,Claustrum,Claustrum,,1.0,regions of claustrum-endopiriform nuclear complex,0.97,correct
species,Cochlear Nucleus,high_confidence,1.0,HOMBA:12437,cochlear nuclei,bm25+exact+fuzzy+hierarchy_parent,Cochlear Nucleus,Cochlear Nucleus,,1.0,dorsal cochlear nucleus,0.736733,correct
species,Corticospinal Tract,high_confidence,1.0,HOMBA:12047,corticospinal tract,bm25+exact+fuzzy,Corticospinal Tract,Corticospinal Tract,,1.0,pyramidal tract,0.97,correct
species,Crossing of the superior cerebellar peduncle,high_confidence,1.0,HOMBA:12337,decussation of superior cerebellar peduncle,bm25+exact+fuzzy,Crossing of the superior cerebellar peduncle,Crossing of the superior cerebellar peduncle,,1.0,superior cerebellar peduncle (brachium conjunctivum),0.389206,correct
species,Cuneiform Nucleus,high_confidence,1.0,HOMBA:12240,cuneiform nucleus,bm25+exact+fuzzy+hierarchy_parent,Cuneiform Nucleus,Cuneiform Nucleus,,1.0,dorsal division of cuneiform nucleus,0.609167,correct
species,Dentate gyrus,high_confidence,1.0,HOMBA:10295,dentate gyrus,bm25+exact+fuzzy+hierarchy_parent,Dentate gyrus,Dentate gyrus,,1.0,major division of dentate gyrus,0.898452,correct
species,Dorsal endopiriform claustrum,high_confidence,1.0,HOMBA:AA30264,dorsal endopiriform nucleus,bm25+exact+fuzzy,Dorsal endopiriform claustrum,Dorsal endopiriform claustrum,dorsal,1.0,endopiriform nucleus,0.753867,correct
species,Dorsal lateral geniculate nucleus,high_confidence,1.0,HOMBA:10429,lateral geniculate nucleus (dorsal lateral geniculate nucleus),bm25+exact+fuzzy,Dorsal lateral geniculate nucleus,Dorsal lateral geniculate nucleus,dorsal;lateral,1.0,pregeniculate nucleus (ventral lateral geniculate nucleus),0.821572,correct
species,Dorsomedial hypothalamic nucleus,high_confidence,1.0,HOMBA:10485,dorsomedial hypothalamic nucleus,bm25+exact+fuzzy+hierarchy_parent,Dorsomedial hypothalamic nucleus,Dorsomedial hypothalamic nucleus,,1.0,diffuse division of dorsomedial hypothalamic nucleus,0.875,correct
species,Dysgranular insular cortex,high_confidence,1.0,HOMBA:10289,dysgranular insular cortex (area Idg),bm25+exact+fuzzy+hierarchy_parent,Dysgranular insular cortex,Dysgranular insular cortex,,1.0,major insular cortex,0.97,correct
species,Endopiriform nucleus,high_confidence,1.0,HOMBA:10371,endopiriform nucleus,bm25+exact+fuzzy+hierarchy_parent,Endopiriform nucleus,Endopiriform nucleus,,1.0,regions of claustrum-endopiriform nuclear complex,0.97,correct
species,Entopeduncular nucleus,high_confidence,1.0,HOMBA:146034758,entopeduncular nucleus,bm25+exact+fuzzy,Entopeduncular nucleus,Entopeduncular nucleus,,1.0,cerebellar deep nuclei,0.260505,correct
species,Entorhinal area (medial part),high_confidence,1.0,HOMBA:10319,medial (caudal) entorhinal cortex,bm25+fuzzy,Entorhinal area,medial entorhinal area,medial,1.0,intermediate entorhinal cortex,0.899167,correct
species,Extended amygdala,high_confidence,1.0,HOMBA:10383,extended amygdala,bm25+exact+fuzzy+hierarchy_parent,Extended amygdala,Extended amygdala,,1.0,regions of extended amygdala,0.94,correct
species,Facial Motor Nucleus,high_confidence,1.0,HOMBA:12420,facial nucleus,bm25+exact+fuzzy+hierarchy_parent,Facial Motor Nucleus,Facial Motor Nucleus,,1.0,"facial nucleus, stylohyoid subnucleus",0.791667,correct
species,Fasciculus retroflexus,high_confidence,1.0,HOMBA:12342,fasciculus retroflexus (habenuno-interpeduncular tract),bm25+exact+fuzzy,Fasciculus retroflexus,Fasciculus retroflexus,,1.0,dorsal fasciculus (column) of spinal cord,0.281916,correct
species,Fasciola cinereum,high_confidence,1.0,HOMBA:AA30112,fasciola cinereum (ectosplenial area 26),bm25+exact+fuzzy,Fasciola cinereum,Fasciola cinereum,,1.0,tuber cinereum,0.275439,correct
species,Fimbria,high_confidence,1.0,HOMBA:10575,fimbria,bm25+exact+fuzzy,Fimbria,Fimbria,,1.0,hippocampus,0.206054,correct
species,Flocculus,high_confidence,1.0,HOMBA:AA30424,lobule Xa (flocculus),bm25+exact+fuzzy,Flocculus,Flocculus,,1.0,lobule X (nodulus and flocculus),0.642818,correct
species,Fornix,high_confidence,1.0,HOMBA:10576,fornix,bm25+exact+fuzzy+hierarchy_parent,Fornix,Fornix,,1.0,body of the fornix,0.589807,correct
species,Frontal pole,high_confidence,1.0,HOMBA:146034888,frontal pole,bm25+exact+fuzzy,Frontal pole,Frontal pole,,1.0,frontal lobe,0.97,correct
species,Genu of the facial nerve,high_confidence,1.0,HOMBA:12738,genu of the facial nerve,bm25+exact+fuzzy,Genu of the facial nerve,Genu of the facial nerve,,1.0,root of facial nerve,0.357256,correct
species,Gigantocellular Reticular Nucleus,high_confidence,1.0,HOMBA:12625,gigantocellular reticular nuclei,bm25+exact+fuzzy,Gigantocellular Reticular Nucleus,Gigantocellular Reticular Nucleus,reticular,1.0,alpha gigantocellular reticular nucleus,0.9975,correct
species,Glomerular layer of the accessory olfactory bulb,high_confidence,1.0,HOMBA:AA30176,glomerular layer of accessory olfactory bulb,bm25+fuzzy,Glomerular layer of the accessory olfactory bulb,glomerular layer of accessory olfactory bulb,layer;accessory,1.0,glomerular layer of olfactory bulb,0.873561,correct
species,Glomerular layer of the olfactory bulb,high_confidence,1.0,HOMBA:AA30170,glomerular layer of olfactory bulb,bm25+fuzzy,Glomerular layer of the olfactory bulb,glomerular layer of olfactory bulb,layer,1.0,glomerular layer of accessory olfactory bulb,0.94492,correct
species,Granular insular cortex,high_confidence,1.0,HOMBA:10290,granular insular cortex (area Ig),bm25+exact+fuzzy,Granular insular cortex,Granular insular cortex,granular,1.0,caudal granular insular cortex,0.9975,correct
species,Habenula,high_confidence,1.0,HOMBA:10452,habenular nuclei,bm25+exact+fuzzy+hierarchy_parent,Habenula,Habenula,,1.0,medial habenular nucleus,0.5934,correct
species,Habenular commissure,high_confidence,1.0,HOMBA:10566,habenular commissure,bm25+exact+fuzzy,Habenular commissure,Habenular commissure,,1.0,hippocampal commissure,0.271515,correct
species,Head of caudate nucleus,high_confidence,1.0,HOMBA:10335,head of caudate nucleus,bm25+exact+fuzzy,Head of caudate nucleus,Head of caudate nucleus,,1.0,caudate nucleus (mediodorsal division of the CP),0.97,correct
species,Hippocampus,high_confidence,1.0,HOMBA:AA30093,hippocampus,bm25+exact+fuzzy,Hippocampus,Hippocampus,,1.0,hippocampal proper (Cornu Ammonis),0.770833,correct
species,Inferior Cerebellar Peduncle,high_confidence,1.0,HOMBA:12741,inferior cerebellar peduncle,bm25+exact+fuzzy,Inferior Cerebellar Peduncle,Inferior Cerebellar Peduncle,,1.0,middle cerebellar peduncle (brachium pontis),0.67705,correct
species,Inferior cerebellar peduncle,high_confidence,1.0,HOMBA:12741,inferior cerebellar peduncle,bm25+exact+fuzzy,Inferior cerebellar peduncle,Inferior cerebellar peduncle,,1.0,middle cerebellar peduncle (brachium pontis),0.67705,correct
species,Inferior colliculus,high_confidence,1.0,HOMBA:12305,inferior colliculus,bm25+exact+fuzzy+hierarchy_parent,Inferior colliculus,Inferior colliculus,,1.0,brachium of inferior colliculus,0.813844,correct
species,Inferior frontal gyrus,high_confidence,1.0,HOMBA:12117,inferior frontal gyrus,bm25+exact+fuzzy+hierarchy_parent,Inferior frontal gyrus,Inferior frontal gyrus,,1.0,frontal lobe,0.97,correct
species,Inferior Olive,high_confidence,1.0,HOMBA:12600,inferior olive,bm25+exact+fuzzy+hierarchy_parent,Inferior Olive,Inferior Olive,,1.0,hilus of the inferior olive,0.722962,correct
species,Inferior olive,high_confidence,1.0,HOMBA:12600,inferior olive,bm25+exact+fuzzy+hierarchy_parent,Inferior olive,Inferior olive,,1.0,hilus of the inferior olive,0.722962,correct
species,Inferior Pulvinar,high_confidence,1.0,HOMBA:10413,inferior division of pulvinar,bm25+exact+fuzzy,Inferior Pulvinar,Inferior Pulvinar,,1.0,pulvinar of thalamus,0.8342,correct
species,Inferior temporal gyrus,high_confidence,1.0,HOMBA:12142,inferior temporal gyrus,bm25+exact+fuzzy,Inferior temporal gyrus,Inferior temporal gyrus,,1.0,temporal lobe,0.97,correct
species,Infundibulum,high_confidence,1.0,HOMBA:10643,infundibular stalk,bm25+exact+fuzzy,Infundibulum,Infundibulum,,1.0,infundibular recess of 3V,0.200572,correct
species,Insular cortex,high_confidence,1.0,HOMBA:10288,major insular cortex,bm25+exact+fuzzy+hierarchy_parent,Insular cortex,Insular cortex,,1.0,agranular insular cortex (area Iag),0.854167,correct
species,Interanteromedial thalamic nucleus,high_confidence,1.0,HOMBA:13048,interanteromedial nucleus of thalamus,bm25+exact+fuzzy,Interanteromedial thalamic nucleus,Interanteromedial thalamic nucleus,,1.0,ventral midline nuclei of thalamus,0.97,correct
species,Intermediodorsal thalamic nucleus,high_confidence,1.0,HOMBA:13049,intermediodorsal  nucleus of thalamus,bm25+exact+fuzzy,Intermediodorsal thalamic nucleus,Intermediodorsal thalamic nucleus,,1.0,dorsal midline nuclei of thalamus,0.97,correct
species,Internal capsule,high_confidence,1.0,HOMBA:10581,internal capsule,bm25+exact+fuzzy+hierarchy_parent,Internal capsule,Internal capsule,,1.0,genu of internal capsule,0.854167,correct
species,Interpeduncular Nucleus,high_confidence,1.0,HOMBA:12270,interpeduncular nucleus,bm25+exact+fuzzy+hierarchy_parent,Interpeduncular Nucleus,Interpeduncular Nucleus,,1.0,"interpeduncular nucleus, apical division",0.796474,correct
species,Interpeduncular nucleus,high_confidence,1.0,HOMBA:12270,interpeduncular nucleus,bm25+exact+fuzzy+hierarchy_parent,Interpeduncular nucleus,Interpeduncular nucleus,,1.0,"interpeduncular nucleus, apical division",0.796474,correct
species,Lamina Terminalis,high_confidence,1.0,HOMBA:12105,lamina terminalis,bm25+exact+fuzzy,Lamina Terminalis,Lamina Terminalis,,1.0,stria terminalis,0.266679,correct
species,Lateral entorhinal cortex,high_confidence,1.0,HOMBA:10318,lateral (rostral) entorhinal cortex,bm25+exact+fuzzy,Lateral entorhinal cortex,Lateral entorhinal cortex,lateral,1.0,lateral intermediate division of entorhinal cortex,0.84376,correct
species,Lateral habenular nucleus,high_confidence,1.0,HOMBA:10453,lateral habenular nucleus,bm25+exact+fuzzy,Lateral habenular nucleus,Lateral habenular nucleus,lateral,1.0,interstitial (dorsal) division of lateral habenular nucleus,0.87,correct
species,Lateral Lemniscus,high_confidence,1.0,HOMBA:12760,lateral lemniscus,bm25+exact+fuzzy,Lateral Lemniscus,Lateral Lemniscus,lateral,1.0,nuclei of lateral lemniscus,0.946389,correct
species,Lateral Parabrachial Nucleus,high_confidence,1.0,HOMBA:12482,lateral parabrachial nucleus,bm25+exact+fuzzy,Lateral Parabrachial Nucleus,Lateral Parabrachial Nucleus,lateral,1.0,"lateral parabrachial nucleus, central division",0.9975,correct
species,"Lateral parietal cortex, inferior",high_confidence,1.0,HOMBA:10225,inferior lateral parietal cortex,bm25+fuzzy,"Lateral parietal cortex, inferior",inferior lateral parietal cortex,lateral,1.0,inferior parietal lobule (gyrus),0.481047,correct
species,Lateral Pulvinar,high_confidence,1.0,HOMBA:10412,lateral division of pulvinar,bm25+fuzzy,lateral pulvinar of thalamus,lateral division of pulvinar of thalamus,lateral,1.0,pulvinar of thalamus,0.7172,correct
species,Lateral Reticular Nucleus,high_confidence,1.0,HOMBA:12634,lateral reticular nucleus,bm25+exact+fuzzy,Lateral Reticular Nucleus,Lateral Reticular Nucleus,lateral;reticular,1.0,lateral reticular nuclei of pons,0.9975,correct
species,Lateral superior olive,high_confidence,1.0,HOMBA:12469,lateral superior olivary nucleus,bm25+exact+fuzzy,Lateral superior olive,Lateral superior olive,lateral,1.0,superior olivary nucleus,0.6512,correct
species,Mammillary nucleus,high_confidence,1.0,HOMBA:10498,mammillary nuclear complex,bm25+exact+fuzzy+hierarchy_parent,Mammillary nucleus,Mammillary nucleus,,1.0,mammillary (posterior) region of HTH,0.8342,correct
species,Mammillotegmental tract,high_confidence,1.0,HOMBA:12065,mammillotegmental tract,bm25+exact+fuzzy,Mammillotegmental tract,Mammillotegmental tract,,1.0,pyramidal tract,0.302708,correct
species,Medial amygdaloid nucleus,high_confidence,1.0,HOMBA:10376,medial nuclear complex of amygdala,bm25+exact+fuzzy,Medial amygdaloid nucleus,Medial amygdaloid nucleus,medial,1.0,corticomedial nuclear group of amygdala,0.686995,correct
species,Medial eminence,high_confidence,1.0,HOMBA:12820,medial eminence,bm25+exact+fuzzy,Medial eminence,Medial eminence,medial,1.0,medial ganglionic eminence,0.802404,correct
species,Medial entorhinal cortex,high_confidence,1.0,HOMBA:10319,medial (caudal) entorhinal cortex,bm25+exact+fuzzy,Medial entorhinal cortex,Medial entorhinal cortex,medial,1.0,intermediate entorhinal cortex,0.84753,correct
species,Medial geniculate nucleus,high_confidence,1.0,HOMBA:10434,medial geniculate nucleus,bm25+exact+fuzzy,Medial geniculate nucleus,Medial geniculate nucleus,medial,1.0,dorsal (rostral) division of medial geniculate nucleus,0.9975,correct
species,Medial habenular nucleus,high_confidence,1.0,HOMBA:10456,medial habenular nucleus,bm25+exact+fuzzy,Medial habenular nucleus,Medial habenular nucleus,medial,1.0,dorsal division of medial habenular nucleus,0.913605,correct
species,Medial Lemniscus,high_confidence,1.0,HOMBA:12763,medial lemniscus,bm25+exact+fuzzy,Medial Lemniscus,Medial Lemniscus,medial,1.0,decussation of medial lemniscus,0.861263,correct
